region,community,cases,date
UNINCORPORATED,ACTON,0,2020-03-27
UNINCORPORATED,ACTON,0,2020-03-28
UNINCORPORATED,ACTON,0,2020-03-29
UNINCORPORATED,ACTON,0,2020-03-30
UNINCORPORATED,ACTON,0,2020-03-31
UNINCORPORATED,ACTON,0,2020-04-01
UNINCORPORATED,ACTON,NA,2020-04-02
UNINCORPORATED,ACTON,NA,2020-04-03
UNINCORPORATED,ACTON,NA,2020-04-04
UNINCORPORATED,ACTON,NA,2020-04-05
UNINCORPORATED,ACTON,NA,2020-04-06
UNINCORPORATED,ACTON,NA,2020-04-07
UNINCORPORATED,ACTON,NA,2020-04-08
UNINCORPORATED,ACTON,5,2020-04-09
UNINCORPORATED,ACTON,5,2020-04-10
UNINCORPORATED,ACTON,5,2020-04-11
UNINCORPORATED,ACTON,5,2020-04-12
UNINCORPORATED,ACTON,NA,2020-04-13
LOS ANGELES,ADAMS-NORMANDIE,NA,2020-03-27
LOS ANGELES,ADAMS-NORMANDIE,NA,2020-03-28
LOS ANGELES,ADAMS-NORMANDIE,NA,2020-03-29
LOS ANGELES,ADAMS-NORMANDIE,NA,2020-03-30
LOS ANGELES,ADAMS-NORMANDIE,5,2020-03-31
LOS ANGELES,ADAMS-NORMANDIE,8,2020-04-01
LOS ANGELES,ADAMS-NORMANDIE,8,2020-04-02
LOS ANGELES,ADAMS-NORMANDIE,12,2020-04-03
LOS ANGELES,ADAMS-NORMANDIE,11,2020-04-04
LOS ANGELES,ADAMS-NORMANDIE,13,2020-04-05
LOS ANGELES,ADAMS-NORMANDIE,13,2020-04-06
LOS ANGELES,ADAMS-NORMANDIE,13,2020-04-07
LOS ANGELES,ADAMS-NORMANDIE,15,2020-04-08
LOS ANGELES,ADAMS-NORMANDIE,15,2020-04-09
LOS ANGELES,ADAMS-NORMANDIE,15,2020-04-10
LOS ANGELES,ADAMS-NORMANDIE,15,2020-04-11
LOS ANGELES,ADAMS-NORMANDIE,15,2020-04-12
LOS ANGELES,ADAMS-NORMANDIE,15,2020-04-13
NA,AGOURA HILLS,1,2020-03-23
NA,AGOURA HILLS,3,2020-03-24
NA,AGOURA HILLS,3,2020-03-25
NA,AGOURA HILLS,5,2020-03-26
NA,AGOURA HILLS,6,2020-03-27
NA,AGOURA HILLS,9,2020-03-28
NA,AGOURA HILLS,9,2020-03-29
NA,AGOURA HILLS,9,2020-03-30
NA,AGOURA HILLS,11,2020-03-31
NA,AGOURA HILLS,10,2020-04-01
NA,AGOURA HILLS,14,2020-04-02
NA,AGOURA HILLS,16,2020-04-03
NA,AGOURA HILLS,17,2020-04-04
NA,AGOURA HILLS,18,2020-04-05
NA,AGOURA HILLS,18,2020-04-06
NA,AGOURA HILLS,19,2020-04-07
NA,AGOURA HILLS,19,2020-04-08
NA,AGOURA HILLS,20,2020-04-09
NA,AGOURA HILLS,20,2020-04-10
NA,AGOURA HILLS,20,2020-04-11
NA,AGOURA HILLS,20,2020-04-12
NA,AGOURA HILLS,20,2020-04-13
UNINCORPORATED,AGUA DULCE,0,2020-03-27
UNINCORPORATED,AGUA DULCE,0,2020-03-28
UNINCORPORATED,AGUA DULCE,0,2020-03-29
UNINCORPORATED,AGUA DULCE,0,2020-03-30
UNINCORPORATED,AGUA DULCE,0,2020-03-31
UNINCORPORATED,AGUA DULCE,0,2020-04-01
UNINCORPORATED,AGUA DULCE,0,2020-04-02
UNINCORPORATED,AGUA DULCE,0,2020-04-03
UNINCORPORATED,AGUA DULCE,0,2020-04-04
UNINCORPORATED,AGUA DULCE,NA,2020-04-05
UNINCORPORATED,AGUA DULCE,NA,2020-04-06
UNINCORPORATED,AGUA DULCE,NA,2020-04-07
UNINCORPORATED,AGUA DULCE,NA,2020-04-08
UNINCORPORATED,AGUA DULCE,NA,2020-04-09
UNINCORPORATED,AGUA DULCE,NA,2020-04-10
UNINCORPORATED,AGUA DULCE,NA,2020-04-11
UNINCORPORATED,AGUA DULCE,NA,2020-04-12
UNINCORPORATED,AGUA DULCE,NA,2020-04-13
NA,ALHAMBRA,2,2020-03-16
NA,ALHAMBRA,1,2020-03-17
NA,ALHAMBRA,1,2020-03-18
NA,ALHAMBRA,2,2020-03-19
NA,ALHAMBRA,3,2020-03-20
NA,ALHAMBRA,3,2020-03-21
NA,ALHAMBRA,3,2020-03-22
NA,ALHAMBRA,4,2020-03-23
NA,ALHAMBRA,5,2020-03-24
NA,ALHAMBRA,6,2020-03-25
NA,ALHAMBRA,8,2020-03-26
NA,ALHAMBRA,8,2020-03-27
NA,ALHAMBRA,10,2020-03-28
NA,ALHAMBRA,10,2020-03-29
NA,ALHAMBRA,11,2020-03-30
NA,ALHAMBRA,13,2020-03-31
NA,ALHAMBRA,13,2020-04-01
NA,ALHAMBRA,15,2020-04-02
NA,ALHAMBRA,17,2020-04-03
NA,ALHAMBRA,19,2020-04-04
NA,ALHAMBRA,21,2020-04-05
NA,ALHAMBRA,22,2020-04-06
NA,ALHAMBRA,24,2020-04-07
NA,ALHAMBRA,26,2020-04-08
NA,ALHAMBRA,27,2020-04-09
NA,ALHAMBRA,32,2020-04-10
NA,ALHAMBRA,33,2020-04-11
NA,ALHAMBRA,33,2020-04-12
NA,ALHAMBRA,34,2020-04-13
LOS ANGELES,ALSACE,NA,2020-03-27
LOS ANGELES,ALSACE,NA,2020-03-28
LOS ANGELES,ALSACE,NA,2020-03-29
LOS ANGELES,ALSACE,NA,2020-03-30
LOS ANGELES,ALSACE,NA,2020-03-31
LOS ANGELES,ALSACE,NA,2020-04-01
LOS ANGELES,ALSACE,NA,2020-04-02
LOS ANGELES,ALSACE,NA,2020-04-03
LOS ANGELES,ALSACE,NA,2020-04-04
LOS ANGELES,ALSACE,NA,2020-04-05
LOS ANGELES,ALSACE,NA,2020-04-06
LOS ANGELES,ALSACE,NA,2020-04-07
LOS ANGELES,ALSACE,5,2020-04-08
LOS ANGELES,ALSACE,5,2020-04-09
LOS ANGELES,ALSACE,5,2020-04-10
LOS ANGELES,ALSACE,6,2020-04-11
LOS ANGELES,ALSACE,6,2020-04-12
LOS ANGELES,ALSACE,6,2020-04-13
NA,ALTADENA,1,2020-03-17
NA,ALTADENA,2,2020-03-20
NA,ALTADENA,3,2020-03-21
NA,ALTADENA,3,2020-03-22
NA,ALTADENA,5,2020-03-23
NA,ALTADENA,5,2020-03-24
NA,ALTADENA,5,2020-03-25
NA,ALTADENA,6,2020-03-26
UNINCORPORATED,ALTADENA,9,2020-03-27
UNINCORPORATED,ALTADENA,10,2020-03-28
UNINCORPORATED,ALTADENA,10,2020-03-29
UNINCORPORATED,ALTADENA,10,2020-03-30
UNINCORPORATED,ALTADENA,12,2020-03-31
UNINCORPORATED,ALTADENA,14,2020-04-01
UNINCORPORATED,ALTADENA,16,2020-04-02
UNINCORPORATED,ALTADENA,16,2020-04-03
UNINCORPORATED,ALTADENA,18,2020-04-04
UNINCORPORATED,ALTADENA,25,2020-04-05
UNINCORPORATED,ALTADENA,26,2020-04-06
UNINCORPORATED,ALTADENA,28,2020-04-07
UNINCORPORATED,ALTADENA,31,2020-04-08
UNINCORPORATED,ALTADENA,33,2020-04-09
UNINCORPORATED,ALTADENA,34,2020-04-10
UNINCORPORATED,ALTADENA,37,2020-04-11
UNINCORPORATED,ALTADENA,37,2020-04-12
UNINCORPORATED,ALTADENA,37,2020-04-13
UNINCORPORATED,ANAVERDE,0,2020-03-27
UNINCORPORATED,ANAVERDE,0,2020-03-28
UNINCORPORATED,ANAVERDE,0,2020-03-29
UNINCORPORATED,ANAVERDE,0,2020-03-30
UNINCORPORATED,ANAVERDE,0,2020-03-31
UNINCORPORATED,ANAVERDE,0,2020-04-01
UNINCORPORATED,ANAVERDE,0,2020-04-02
UNINCORPORATED,ANAVERDE,0,2020-04-03
UNINCORPORATED,ANAVERDE,0,2020-04-04
UNINCORPORATED,ANAVERDE,0,2020-04-05
UNINCORPORATED,ANAVERDE,0,2020-04-06
UNINCORPORATED,ANAVERDE,0,2020-04-07
UNINCORPORATED,ANAVERDE,0,2020-04-08
UNINCORPORATED,ANAVERDE,0,2020-04-09
UNINCORPORATED,ANAVERDE,0,2020-04-10
UNINCORPORATED,ANAVERDE,0,2020-04-11
UNINCORPORATED,ANAVERDE,0,2020-04-12
UNINCORPORATED,ANAVERDE,0,2020-04-13
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-03-27
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-03-28
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-03-28
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-03-29
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-03-29
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-03-30
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-03-30
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-03-31
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-03-31
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-01
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-01
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-02
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-02
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-03
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-03
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-04
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-04
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-05
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-05
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-06
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-06
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-07
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-07
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-08
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-08
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-09
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-09
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-10
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-10
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-11
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-11
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-12
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-12
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-04-13
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-04-13
LOS ANGELES,ANGELINO HEIGHTS,0,2020-03-27
LOS ANGELES,ANGELINO HEIGHTS,0,2020-03-28
LOS ANGELES,ANGELINO HEIGHTS,0,2020-03-29
LOS ANGELES,ANGELINO HEIGHTS,0,2020-03-30
LOS ANGELES,ANGELINO HEIGHTS,0,2020-03-31
LOS ANGELES,ANGELINO HEIGHTS,0,2020-04-01
LOS ANGELES,ANGELINO HEIGHTS,0,2020-04-02
LOS ANGELES,ANGELINO HEIGHTS,0,2020-04-03
LOS ANGELES,ANGELINO HEIGHTS,0,2020-04-04
LOS ANGELES,ANGELINO HEIGHTS,0,2020-04-05
LOS ANGELES,ANGELINO HEIGHTS,0,2020-04-06
LOS ANGELES,ANGELINO HEIGHTS,0,2020-04-07
LOS ANGELES,ANGELINO HEIGHTS,0,2020-04-08
LOS ANGELES,ANGELINO HEIGHTS,0,2020-04-09
LOS ANGELES,ANGELINO HEIGHTS,NA,2020-04-10
LOS ANGELES,ANGELINO HEIGHTS,NA,2020-04-11
LOS ANGELES,ANGELINO HEIGHTS,NA,2020-04-12
LOS ANGELES,ANGELINO HEIGHTS,NA,2020-04-13
NA,ARCADIA,1,2020-03-16
NA,ARCADIA,1,2020-03-17
NA,ARCADIA,2,2020-03-18
NA,ARCADIA,2,2020-03-19
NA,ARCADIA,2,2020-03-20
NA,ARCADIA,2,2020-03-21
NA,ARCADIA,2,2020-03-22
NA,ARCADIA,3,2020-03-23
NA,ARCADIA,4,2020-03-24
NA,ARCADIA,4,2020-03-25
NA,ARCADIA,6,2020-03-26
NA,ARCADIA,6,2020-03-27
UNINCORPORATED,ARCADIA,0,2020-03-27
NA,ARCADIA,8,2020-03-28
UNINCORPORATED,ARCADIA,0,2020-03-28
NA,ARCADIA,9,2020-03-29
UNINCORPORATED,ARCADIA,0,2020-03-29
NA,ARCADIA,9,2020-03-30
UNINCORPORATED,ARCADIA,0,2020-03-30
NA,ARCADIA,10,2020-03-31
UNINCORPORATED,ARCADIA,0,2020-03-31
NA,ARCADIA,12,2020-04-01
UNINCORPORATED,ARCADIA,0,2020-04-01
NA,ARCADIA,12,2020-04-02
UNINCORPORATED,ARCADIA,0,2020-04-02
NA,ARCADIA,13,2020-04-03
UNINCORPORATED,ARCADIA,0,2020-04-03
NA,ARCADIA,13,2020-04-04
UNINCORPORATED,ARCADIA,0,2020-04-04
NA,ARCADIA,14,2020-04-05
UNINCORPORATED,ARCADIA,0,2020-04-05
NA,ARCADIA,16,2020-04-06
UNINCORPORATED,ARCADIA,0,2020-04-06
NA,ARCADIA,17,2020-04-07
UNINCORPORATED,ARCADIA,0,2020-04-07
NA,ARCADIA,17,2020-04-08
UNINCORPORATED,ARCADIA,0,2020-04-08
NA,ARCADIA,18,2020-04-09
UNINCORPORATED,ARCADIA,NA,2020-04-09
NA,ARCADIA,19,2020-04-10
UNINCORPORATED,ARCADIA,NA,2020-04-10
NA,ARCADIA,20,2020-04-11
UNINCORPORATED,ARCADIA,NA,2020-04-11
NA,ARCADIA,22,2020-04-12
UNINCORPORATED,ARCADIA,NA,2020-04-12
NA,ARCADIA,22,2020-04-13
UNINCORPORATED,ARCADIA,NA,2020-04-13
NA,ARLETA,1,2020-03-25
NA,ARLETA,2,2020-03-26
LOS ANGELES,ARLETA,2,2020-03-27
LOS ANGELES,ARLETA,4,2020-03-28
LOS ANGELES,ARLETA,5,2020-03-29
LOS ANGELES,ARLETA,5,2020-03-30
LOS ANGELES,ARLETA,7,2020-03-31
LOS ANGELES,ARLETA,7,2020-04-01
LOS ANGELES,ARLETA,7,2020-04-02
LOS ANGELES,ARLETA,10,2020-04-03
LOS ANGELES,ARLETA,13,2020-04-04
LOS ANGELES,ARLETA,15,2020-04-05
LOS ANGELES,ARLETA,17,2020-04-06
LOS ANGELES,ARLETA,20,2020-04-07
LOS ANGELES,ARLETA,20,2020-04-08
LOS ANGELES,ARLETA,22,2020-04-09
